Latitude,Longitude,NestID,Description
-33.95889,18.45936,SNAPE5,Light next to lecture theater
-33.95875,18.45914,SNAPE6,Inside Snape 3A
-33.9595,18.4595,SNAPE7,End of passage next to Snape 2B
-33.958496,18.460033,SNAPE8,In hole in east wall of Snape building opposite Menz
-33.956015,18.463377,SPORT1,On pipes under sports center by field (next to ramp)
-33.95571,18.462874,SPORT2,Under roof at front
-33.95647,18.46011,STATS,Gutter opposite Res's office
,,WALL,"Hole in wall opposite Smuts, along road"
-33.95708,18.46186,WALL2,Couple of holes down from Wall. Behind some ivy. More or less opposite side door of Smuts (slightly more north)
-33.956288,18.461136,ZOO,"To the left of tearoom door, on a ledge in the gap"
